"Anfossi, Pasquale","http://imslp.org /wiki/Category:Anfossi,_Pasquale"
"Angeloni, Domenico","http://imslp.org /wiki/Category:Angeloni,_Domenico"
"Angerer, Edmund","http://imslp.org /wiki/Category:Angerer,_Edmund"
"Anglebert, Jean-Henri d'","http://imslp.org /wiki/Category:Anglebert,_Jean-Henri_d%27"
"Anglia, Robertus de","http://imslp.org /wiki/Category:Anglia,_Robertus_de"
"Anglicanus","http://imslp.org /wiki/Category:Anglicanus"
"Anschütz, Jacques-Albert","http://imslp.org /wiki/Category:Ansch%C3%BCtz,_Jacques-Albert"
"Ansorge, Conrad","http://imslp.org /wiki/Category:Ansorge,_Conrad"
"Antalffy-Zsiross, Dezső","http://imslp.org /wiki/Category:Antalffy-Zsiross,_Dezs%C5%91"
"Antegnati, Costanzo","http://imslp.org /wiki/Category:Antegnati,_Costanzo"
"Antelo, Xoán","http://imslp.org /wiki/Category:Antelo,_Xo%C3%A1n"
"Antes, John","http://imslp.org /wiki/Category:Antes,_John"
"Antheil, George","http://imslp.org /wiki/Category:Antheil,_George"
"Anthony, Bert R.","http://imslp.org /wiki/Category:Anthony,_Bert_R."
"Antipov, Konstantin","http://imslp.org /wiki/Category:Antipov,_Konstantin"
"De Antiquis, Giovanni","http://imslp.org /wiki/Category:De_Antiquis,_Giovanni"
"Anton Sr., Philipp Gottlieb","http://imslp.org /wiki/Category:Anton_Sr.,_Philipp_Gottlieb"
"Antonio, Lincoln","http://imslp.org /wiki/Category:Antonio,_Lincoln"
"Antoniotto, Giorgio","http://imslp.org /wiki/Category:Antoniotto,_Giorgio"
"Antsev, Mikhail","http://imslp.org /wiki/Category:Antsev,_Mikhail"
"Anzoletti, Marco","http://imslp.org /wiki/Category:Anzoletti,_Marco"
"Appenzeller, Benedictus","http://imslp.org /wiki/Category:Appenzeller,_Benedictus"
"Aprile, Giuseppe","http://imslp.org /wiki/Category:Aprile,_Giuseppe"
"Apthorp, William Foster","http://imslp.org /wiki/Category:Apthorp,_William_Foster"
"Aptommas, Thomas","http://imslp.org /wiki/Category:Aptommas,_Thomas"
"Aquabella, Ramon","http://imslp.org /wiki/Category:Aquabella,_Ramon"
"Aquinus, David","http://imslp.org /wiki/Category:Aquinus,_David"
"Araja, Francesco","http://imslp.org /wiki/Category:Araja,_Francesco"
"Aranda, Omar","http://imslp.org /wiki/Category:Aranda,_Omar"
"Arban, Jean-Baptiste","http://imslp.org /wiki/Category:Arban,_Jean-Baptiste"
"Arbeau, Thoinot","http://imslp.org /wiki/Category:Arbeau,_Thoinot"
"Arcadelt, Jacob","http://imslp.org /wiki/Category:Arcadelt,_Jacob"
"Arcas, Julián","http://imslp.org /wiki/Category:Arcas,_Juli%C3%A1n"
"Archer, Jerald Franklin","http://imslp.org /wiki/Category:Archer,_Jerald_Franklin"
"Arditi, Luigi","http://imslp.org /wiki/Category:Arditi,_Luigi"
"Ardorino, Giovanni","http://imslp.org /wiki/Category:Ardorino,_Giovanni"
"Arena Rodríguez, Miguel Ramón","http://imslp.org /wiki/Category:Arena_Rodr%C3%ADguez,_Miguel_Ram%C3%B3n"
"Arends, Andrey","http://imslp.org /wiki/Category:Arends,_Andrey"
"Arensky, Anton","http://imslp.org /wiki/Category:Arensky,_Anton"
"D'Arezzo, Guido","http://imslp.org /wiki/Category:D%27Arezzo,_Guido"
"Arifon, E.","http://imslp.org /wiki/Category:Arifon,_E."
"Arimino, Ludvicus de","http://imslp.org /wiki/Category:Arimino,_Ludvicus_de"
"Ariosti, Attilio","http://imslp.org /wiki/Category:Ariosti,_Attilio"
"Arlberg, Fritz","http://imslp.org /wiki/Category:Arlberg,_Fritz"
"Armes, Philip","http://imslp.org /wiki/Category:Armes,_Philip"
"Arnaud, Pierre","http://imslp.org /wiki/Category:Arnaud,_Pierre"
"Arndt, Felix","http://imslp.org /wiki/Category:Arndt,_Felix"
"Arne, Thomas Augustine","http://imslp.org /wiki/Category:Arne,_Thomas_Augustine"
"Arnold, Johann Gottfried","http://imslp.org /wiki/Category:Arnold,_Johann_Gottfried"
"Arnold, John","http://imslp.org /wiki/Category:Arnold,_John"
"Arnold, Maurice","http://imslp.org /wiki/Category:Arnold,_Maurice"
"Arnold, Samuel","http://imslp.org /wiki/Category:Arnold,_Samuel"
"Arnoldi","http://imslp.org /wiki/Category:Arnoldi"
"Arntson, Steven","http://imslp.org /wiki/Category:Arntson,_Steven"
"Aronson, Rudolph","http://imslp.org /wiki/Category:Aronson,_Rudolph"
"Arresti, Floriano","http://imslp.org /wiki/Category:Arresti,_Floriano"
"Arriaga, Juan Crisóstomo de","http://imslp.org /wiki/Category:Arriaga,_Juan_Cris%C3%B3stomo_de"
"Arribas y Arribas, Juan","http://imslp.org /wiki/Category:Arribas_y_Arribas,_Juan"
"Arrieta, Emilio","http://imslp.org /wiki/Category:Arrieta,_Emilio"
"Arrigo, Giuseppe","http://imslp.org /wiki/Category:Arrigo,_Giuseppe"
"Arrigoni, Giovanni Giacomo","http://imslp.org /wiki/Category:Arrigoni,_Giovanni_Giacomo"
"Artôt, Alexandre Joseph","http://imslp.org /wiki/Category:Art%C3%B4t,_Alexandre_Joseph"
"Artsybushev, Nikolay","http://imslp.org /wiki/Category:Artsybushev,_Nikolay"
"Artusini, Antonio","http://imslp.org /wiki/Category:Artusini,_Antonio"
"Asafyev, Boris","http://imslp.org /wiki/Category:Asafyev,_Boris"
"Ascham, Roger","http://imslp.org /wiki/Category:Ascham,_Roger"
"Ascher, Joseph","http://imslp.org /wiki/Category:Ascher,_Joseph"
"Ashmall, William Edwin","http://imslp.org /wiki/Category:Ashmall,_William_Edwin"
"Ashton, Algernon","http://imslp.org /wiki/Category:Ashton,_Algernon"
"Asioli, Bonifazio","http://imslp.org /wiki/Category:Asioli,_Bonifazio"
"Asola, Giammateo","http://imslp.org /wiki/Category:Asola,_Giammateo"
"Asplmayr, Franz","http://imslp.org /wiki/Category:Asplmayr,_Franz"
"Aston, Hugh","http://imslp.org /wiki/Category:Aston,_Hugh"
"Astorga, Emanuele","http://imslp.org /wiki/Category:Astorga,_Emanuele"
"Atherton, Frank P.","http://imslp.org /wiki/Category:Atherton,_Frank_P."
"Attaingnant, Pierre","http://imslp.org /wiki/Category:Attaingnant,_Pierre"
"Atterberg, Kurt Magnus","http://imslp.org /wiki/Category:Atterberg,_Kurt_Magnus"
"Attrup, Karl","http://imslp.org /wiki/Category:Attrup,_Karl"
"Attwood, Thomas","http://imslp.org /wiki/Category:Attwood,_Thomas"
"Auber, Daniel François Esprit","http://imslp.org /wiki/Category:Auber,_Daniel_Fran%C3%A7ois_Esprit"
"Aubert, Jacques","http://imslp.org /wiki/Category:Aubert,_Jacques"
"Aubert, Louis","http://imslp.org /wiki/Category:Aubert,_Louis"
